the_geom,cartodb_id,pname,date,year,longitude,latitude,state,county,cnumber
0101000020E61000001E15FF7744C254C00AD5720C6DBC4040,126,Jack Delano,1941-06-01 00:00:00+00,1941,-83.035429,33.4720779,Georgia,Greene County,fsa1992000179/PP
0101000020E61000001E15FF7744C254C00AD5720C6DBC4040,127,Jack Delano,1941-06-01 00:00:00+00,1941,-83.035429,33.4720779,Georgia,Greene County,fsa1992000180/PP
0101000020E61000001E15FF7744C254C00AD5720C6DBC4040,128,Jack Delano,1941-06-01 00:00:00+00,1941,-83.035429,33.4720779,Georgia,Greene County,fsa1992000181/PP
0101000020E61000001E15FF7744C254C00AD5720C6DBC4040,129,Jack Delano,,1941,-83.035429,33.4720779,Georgia,Greene County,fsa1992000184/PP
0101000020E61000001E15FF7744C254C00AD5720C6DBC4040,130,Jack Delano,,1941,-83.035429,33.4720779,Georgia,Greene County,fsa1992000185/PP
0101000020E61000001E15FF7744C254C00AD5720C6DBC4040,131,Jack Delano,,1941,-83.035429,33.4720779,Georgia,Greene County,fsa1992000186/PP
0101000020E61000001E15FF7744C254C00AD5720C6DBC4040,132,Jack Delano,,1941,-83.035429,33.4720779,Georgia,Greene County,fsa1992000187/PP
0101000020E61000001E15FF7744C254C00AD5720C6DBC4040,133,Jack Delano,1941-06-01 00:00:00+00,1941,-83.035429,33.4720779,Georgia,Greene County,fsa1992000188/PP
0101000020E61000001E15FF7744C254C00AD5720C6DBC4040,134,Jack Delano,1941-06-01 00:00:00+00,1941,-83.035429,33.4720779,Georgia,Greene County,fsa1992000189/PP
0101000020E61000002FA52E19C7C654C00FBD207DEED54040,135,Jack Delano,1941-06-01 00:00:00+00,1941,-83.105902,33.6713406,Georgia,Greene County,fsa1992000190/PP
0101000020E61000007E175BADB8D454C0CFFD309D31D04040,136,Jack Delano,1941-06-01 00:00:00+00,1941,-83.3237718,33.6265141,Georgia,Greene County,fsa1992000191/PP
0101000020E6100000C0BE8C18ACCB54C011AEDBFBAFC94040,137,Jack Delano,1941-06-01 00:00:00+00,1941,-83.1823789,33.5756831,Georgia,Greene County,fsa1992000192/PP
0101000020E61000002FA52E19C7C654C00FBD207DEED54040,360,Jack Delano,,1941,-83.105902,33.6713406,Georgia,Greene County,fsa1992000493/PP
0101000020E6100000982F2FC0BEC551C0670C738236F34440,378,Jack Delano,1941-01-01 00:00:00+00,1941,-71.0897675,41.900101,Massachusetts,Bristol County,fsa1992000618/PP
0101000020E6100000F2446BA0D4F655C00C5C1E6B46F34440,386,Jack Delano,1942-12-01 00:00:00+00,1942,-87.8567277,41.9005865,Illinois,Cook County,fsa1992000643/PP
0101000020E6100000F2446BA0D4F655C00C5C1E6B46F34440,387,Jack Delano,1942-12-01 00:00:00+00,1942,-87.8567277,41.9005865,Illinois,Cook County,fsa1992000644/PP
0101000020E6100000224CF6749AE955C0A9C29FE1CDEC4440,388,Jack Delano,1942-12-01 00:00:00+00,1942,-87.6500523,41.850033,Illinois,Cook County,fsa1992000645/PP
